DeviceRecNum,DeviceNum,PrclErr,AddrAdjusted,CityBlock,Parcel,OwnerCode,Handle,Parcel9,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,DeviceType,DeviceMake,DeviceSize,DeviceDesc,FacilityName,FacContact,FacAddrNum,FacStreet,FacZIP,LastInspDate,GeoCityBLockPart,Ward10,Precinct10,InspArea10,Ward00,Precinct02,Nbrhd,CDADist,CDASubDist,PoliceDist,CensTract10,CensGroup10,CensBlock00,AsrNbrhd,NLC,Parity,FirstDate,LastDate,UpDateGeo
1262,162767,0,0,892,10,0,10892000010,89200010,721, , ,PESTALOZZI,ST, ,P,WATTS 009,0.75,BUILDING #3 BASEMENT,ANHEUSER BUSCH INC.,NICK STESKA,721,PESTALOZZI,63118,06/10/13 00:00:00,892,9,4,2,9,4,21,8,15,3,1246,1,1246.1009,267,203,O,,09/21/17 00:00:00,
1264,79324,1,0,907,55,0,10907000055,90700055,2000, , ,LOCUST,ST, ,P,WATTS 009,1.5,INTERIOR REAR STORAGE ROOM,DR. KAREN HARRIS,,2000,LOCUST STREET,63103,09/17/13 00:00:00,907,6,5,3,6,10,36,9,1,4,1275,2,1214.1046,257,77,E,,09/21/17 00:00:00,
1265,215172,92,0,9999.9,0,0,19999900000,999990000,3545, , , , , ,P,WATTS 009,2,NORTH WEST CORNER OF PARK,ST. LOUIS UNIVERSITY,,3545,LINDELL,63108,08/31/13 00:00:00,9999.9,99,99,99,99,99,99,99,99,0,9999.9,0,9999.9,499,0,O,,09/21/17 00:00:00,
1266,3464831,0,0,1365,190,0,11365000190,136500190,3427, , ,LONGFELLOW,BLVD, ,P,WILKINS 975XL,0.75,FRONT OF HOUSE,JUSTIN YOUNG,,3427,LONGFELLOW,63104,08/29/13 00:00:00,1365,6,2,1,6,2,26,7,19,3,1174,1,1174.1003,241,819,O,,09/21/17 00:00:00,
1267,21133,92,0,9999.9,0,0,19999900000,999990000,1026, , , , , ,S,AMES 2000B,1,BASEMENT,MANDY DOSS,,1026,BATES ST,63111,01/24/13 00:00:00,9999.9,99,99,99,99,99,99,99,99,0,9999.9,0,9999.9,499,0,E,,09/21/17 00:00:00,
1268,360214,0,0,852,55,0,10852000055,85200055,1, , ,BUSCH,PL, ,P,WATTS 909 RPZ,0.75,SH#17 BLDG#189 KATHABAR ROOM,ANHEUSER BUSCH,,1,BUSCH PLACE,63104,08/07/13 00:00:00,852,9,4,2,9,4,21,8,15,3,1246,1,1246.1003,267,1644,O,,09/21/17 00:00:00,
1269,164458,0,0,852,55,0,10852000055,85200055,1, , ,BUSCH,PL, ,P,WATTS 909,4,BLDG.156 AB# 303 NW CORNER,ANHEUSER BUSCH,NICK STESKA,1,BUSCH PLACE,63118,06/21/13 00:00:00,852,9,4,2,9,4,21,8,15,3,1246,1,1246.1003,267,1644,O,,09/21/17 00:00:00,
1270,06176,1,0,410,10,0,10410000010,41000010,1311, , ,LAFAYETTE,AV, ,S,WATTS 007,2.5,MECH CLOSET @1311 LAFAY-APT A,KING LOUIS/D. WILLIAMS,,1524,S. 13TH ST.,63104,02/13/13 00:00:00,410,7,5,1,7,5,33,8,13,3,1232,1,1232.1,250,11,O,,09/21/17 00:00:00,
1271,2C10275,0,0,6340,140,0,16340000140,634000140,60, , ,HAMPTON VILLAGE PLAZA, , ,S,AMES 2000 SS,4,SOUTHWEST CORNER OF STOCK ROOM,SCHNUCKS,,60,HAMPTON VILLAGE #258,63109,01/20/12 00:00:00,6340,16,7,2,16,7,7,3,57,2,1141.02,3,1141.6,121,1124,E,,09/21/17 00:00:00,
1272,153566,0,0,1792,150,0,11792000150,179200150,3300, ,S,2ND,ST, ,P,WATTS 909,3,ROOM 2038 WEST WALL,SIGMA CHEMICAL,C. MONTGOMERY,3300,S. 2ND ST,63118,09/14/13 00:00:00,1792,9,8,1,9,10,20,8,15,3,1246,1,1246.1027,145,366,E,,09/21/17 00:00:00,
1273,124662,0,0,852,55,0,10852000055,85200055,1, , ,BUSCH,PL, ,P,WATTS 909,3,BLDG. 20 4TH FL. MECH. ROOM,ANHEUSER BUSCH INC.,NICK STESKA,1,BUSCH PLACE,63118,06/20/13 00:00:00,852,9,4,2,9,4,21,8,15,3,1246,1,1246.1003,267,1644,O,,09/21/17 00:00:00,
1274,612872,0,0,852,55,0,10852000055,85200055,1, , ,BUSCH,PL, ,P,WATTS 909,1,BLDG.202 N.W.MECH ROOM-9TH FL.,ANHEUSER BUSCH INC.,,1,BUSCH PLACE,63118,06/26/13 00:00:00,852,9,4,2,9,4,21,8,15,3,1246,1,1246.1003,267,1644,O,,09/21/17 00:00:00,
1275,LW08,0,0,852,55,0,10852000055,85200055,1, , ,BUSCH,PL, ,P,CLAVAL RP4,4,1ST FL. LAUTER TUB BLD.#237,ANHEUSER BUSCH INC.,NICK STESKA\,1,BUSCH PLACE,63118,06/21/13 00:00:00,852,9,4,2,9,4,21,8,15,3,1246,1,1246.1003,267,1644,O,,09/21/17 00:00:00,
1276,010855,0,0,2563,370,0,12563000370,256300370,3930, ,S,BROADWAY, , ,P,AMES 2000B,1.25,JANITORS CLOSET,GRACE HILL,,3930,S. BROADWAY,63118,02/03/14 00:00:00,2563,20,4,2,9,11,18,1,46,3,1246,2,1246.201,145,23,E,,09/21/17 00:00:00,
1277,3091115,0,0,6371,350,0,16371000350,637100350,4245, , ,GUSTINE,AV, ,S,FEBCO 850,8,MAIN FIRE SPRINKLER,SPECTRUM SAMPLE CARD CO,,4245,GUSTINE,63116,05/03/13 00:00:00,6371,25,2,1,25,3,16,2,50,1,1153,5,1153.4004,116,284,O,,09/21/17 00:00:00,
1278,341585,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,0.75,REN ROOM 0008 MECHANICAL AREA,WASHINGTON U. MED. SCHOOL,BRYAN FROST,660,S EUCLID,63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1279,AC9209,0,0,852,55,0,10852000055,85200055,1, , ,BUSCH,PL, ,P,FEBCO 825Y,2,"BLDG 205M.R.B. PUMP RM,A.B.319",ANHEUSER BUSCH INC.,,1,BUSCH PLACE,63118,06/21/13 00:00:00,852,9,4,2,9,4,21,8,15,3,1246,1,1246.1003,267,1644,O,,09/21/17 00:00:00,
1280,112343,0,0,4696,110,0,14696000110,469600110,7350, , ,GRAVOIS,AV, ,P,WATTS 909,1,OUTSIDE/RIGHT SIDE OF BUILDING,STEAK N SHAKE,,7350,GRAVOIS,63116,07/10/06 00:00:00,4696,12,1,1,12,9,4,3,53,1,1023,2,1023.2004,123,22,E,,09/21/17 00:00:00,
1281,435054,0,0,1792,150,0,11792000150,179200150,3300, ,S,2ND,ST, ,P,WATTS 909,1,N.H. 2ND FLOOR BEHIND ELEVATORS,SIGMA CHEMICAL,,3300,S. SECOND ST,63118,09/15/13 00:00:00,1792,9,8,1,9,10,20,8,15,3,1246,1,1246.1027,145,366,E,,09/21/17 00:00:00,
1282,124138,0,0,1792,150,0,11792000150,179200150,3300, ,S,2ND,ST, ,P,WATTS 909,3,N. LOWBAY MECHANICAL ROOM 1114,SIGMA CHEMICAL,C. MONTGOMERY,3300,S 2ND ST,63118,09/12/13 00:00:00,1792,9,8,1,9,10,20,8,15,3,1246,1,1246.1027,145,366,E,,09/21/17 00:00:00,
1283,192693,0,0,1777,20,0,11777000020,177700020,3500, , ,DEKALB,ST, ,P,WATTS 909,4,AI NEXT TO DISPENSORY,SIGMA CHEMICAL,,3500,DEKALB,63118,09/12/13 00:00:00,1777,20,4,1,20,4,18,1,46,3,1246,1,1246.1044,145,522,E,,09/21/17 00:00:00,
1285,942795,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,1.25,NTA ROOM 0054 MECHANICAL AREA,WASH UNIV/CSRB,,660,S. EUCLID C.S.R.,63108,01/23/09 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1286,L7231,0,0,1792,150,0,11792000150,179200150,3300, ,S,2ND,ST, ,P,FEBCO 825Y,2,XY BLDG. 1ST FLOOR CEILING,SIGMA CHEMICAL,C. MONTGOMERY,3300,S 2ND ST,63118,09/12/13 00:00:00,1792,9,8,1,9,10,20,8,15,3,1246,1,1246.1027,145,366,E,,09/21/17 00:00:00,
1287,14523,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 009,0.5,CSR ROOM 8843 LAB - SVC,WASHINGTON UNIV.  (CSR),BRYAN FROST,660,S EUCLID,63110,01/08/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1288,195099,0,0,1792,150,0,11792000150,179200150,3300, ,S,2ND,ST, ,P,WATTS 909,2,N. HIGHBAY EQUIPMENT  ROOM,SIGMA CHEMICAL,,3300,S 2ND ST,63118,09/30/13 00:00:00,1792,9,8,1,9,10,20,8,15,3,1246,1,1246.1027,145,366,E,,09/21/17 00:00:00,
1289,2JJ0249,0,0,6064,100,0,16064000100,606400100,3309, ,S,KINGSHIGHWAY,BLVD, ,S,AMES DOUBLE CH 2000S,4,CTR. OF 1ST FL. BEHIND ELEVATOS,FAMILY RESOURCE CENTER,,3309,S. KINGSHIGHWAY,63139,03/06/13 00:00:00,6064,10,4,2,10,13,14,4,56,2,1142,1,1142.1,120,19,O,,09/21/17 00:00:00,
1290,61890,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 009,0.5,ROB 4TH FLOOR LAB AREA,WASHINGTON UNIV.  (ECB),BRYAN FROST,660,S EUCLID,63110,01/08/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1291,301254,0,0,743,30,0,10743000030,74300030,2425, ,S,2ND,ST, ,P,HERSEY BEECO,4,EAST SIDE WALL FIRE SYSTEM,SIGMA CHEMICAL,,2425,S 2ND ST,63104,09/17/12 00:00:00,743,7,6,2,9,4,20,8,14,3,1276,3,1235.3008,267,366,O,,09/21/17 00:00:00,
1292,246400,0,0,743,30,0,10743000030,74300030,2425, ,S,2ND,ST, ,P,WATTS 909,1.5,BOILER ROOM AREA WEST WALL,SIGMA CHEMICAL,,2425,S 2ND ST,63104,09/12/12 00:00:00,743,7,6,2,9,4,20,8,14,3,1276,3,1235.3008,267,366,O,,09/21/17 00:00:00,
1293,E10446/,0,0,462.06,10,0,10462060010,46206010,1100, ,S,9TH,ST, ,S,GRINNELL B-2,6,N.W. CORNER OF WAREHOUSE,LOHR DISTRIBUTION,,1100,SOUTH 9TH STREET,63104,05/16/13 00:00:00,462.06,7,5,2,7,5,34,8,13,3,1274,1,1224.3008,249,137,E,,09/21/17 00:00:00,
1294,285981,1,0,191,200,0,10191000200,19100200,801, , ,CHESTNUT,ST, ,P,WATTS RPZ,0.75,ROOM 2270 SOUTH GALLERY,AT & T,,801,CHESTNUT,63101,09/15/13 00:00:00,191,7,4,3,7,10,35,9,1,4,1256,3,1256.1062,261,86,O,,09/21/17 00:00:00,
1295,134446,1,0,191,200,0,10191000200,19100200,801, , ,CHESTNUT,ST, ,P,WATTS 909,3,WEST SIDE OF B1 ROOM B1-040,AT & T,,801,CHESTNUT ST,63101,09/15/13 00:00:00,191,7,4,3,7,10,35,9,1,4,1256,3,1256.1062,261,86,O,,09/21/17 00:00:00,
1296,321650,1,0,191,200,0,10191000200,19100200,801, , ,CHESTNUT,ST, ,S,WATTS DOUBLE CHECK,8,B2 LEVEL ROOM 510,AT & T,RICH MC DONOUGH,801,CHESTNUT ST,63101,02/04/14 00:00:00,191,7,4,3,7,10,35,9,1,4,1256,3,1256.1062,261,86,O,,09/21/17 00:00:00,
1297,285970,1,0,191,200,0,10191000200,19100200,801, , ,CHESTNUT,ST, ,P,WATTS 909 RPZ,0.75,ROOM 2770 NORTH GALLERY,AT & T,,801,CHESTNUT ST,63101,09/15/13 00:00:00,191,7,4,3,7,10,35,9,1,4,1256,3,1256.1062,261,86,O,,09/21/17 00:00:00,
1298,176891,0,0,281,30,0,10281000030,28100030,1015, , ,LOCUST,ST, ,S,WATTS 909 RPZ,4,EAST WALL PARKING GARAGE,1015 LOCUST BUILDING,,1015,LOCUST STREET,63101,06/29/13 00:00:00,281,7,4,3,7,10,35,9,1,4,1256,3,1256.1041,261,77,O,,09/21/17 00:00:00,
1299,149711,4,0,6484,110,0,16484000110,648400110,1200, ,N,JEFFERSON,AV, ,P,WATTS 909,3,BOILER ROOM,GATEWAY MATH & SCIENCE,,1200,N. JEFFERSON,63106,08/14/13 00:00:00,6484.0085,5,1,2,5,6,61,14,5,4,1275,1,1213.2012,258,109,E,,09/21/17 00:00:00,
1300,443522,0,0,184,150,0,10184000150,18400150,701, , ,MARKET,ST, ,P,WATTS 909,1.5,PUMP ROOM CEILING,COLLIERS INTERNATIONAL,CHARLIE SMITH,701,MARKET  #100,63101,03/09/13 00:00:00,184,7,4,3,7,10,35,9,1,4,1256,3,1256.1068,261,66,O,,09/21/17 00:00:00,
1301,94577,0,0,184,150,0,10184000150,18400150,701, , ,MARKET,ST, ,P,WATTS 909,1.25,15TH FLOOR MECH. ROOM,COLLIERS INTERNATIONAL,CHARLIE SMITH,701,MARKET #100,63101,03/09/13 00:00:00,184,7,4,3,7,10,35,9,1,4,1256,3,1256.1068,261,66,O,,09/21/17 00:00:00,
1302,120294,0,0,184,150,0,10184000150,18400150,701, , ,MARKET,ST, ,P,WATTS 909,1.25,MAINTENANCE SHOP - CEILING,COLLIERS INTERNATIONAL,CHARLIE SMITH,701,MARKET #100,63101,03/09/13 00:00:00,184,7,4,3,7,10,35,9,1,4,1256,3,1256.1068,261,66,O,,09/21/17 00:00:00,
1303,249209,0,0,4095,55,0,14095000055,409500055,4500, , ,SHAW,AV, ,P,WATTS 909,1.25,AZALEA-ROTODENDRUM TUNNEL,MO. BOTANICAL GARDEN,,4500,SHAW,63110,05/20/13 00:00:00,4095.0083,8,1,1,8,3,13,5,40,2,1171,1,1171.4004,217,164,E,,09/21/17 00:00:00,
1304,627891,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,0.75,ROB 4TH FLOOR MECHANICAL AREA,WASHINGTON U. MED. SCHOOL,BRYAN FROST,660,S EUCLID,63110,01/08/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1305,A24348,0,0,4002,40,0,14002000040,400200040,5600, , ,OAKLAND,AV, ,P,WATTS 009,1.5,AUTO TECH BRAKE AREA S.W. CORNR,ST. LOUIS COMM. COLLEGE,,5600,OAKLAND,63110,07/24/13 00:00:00,4002.0087,17,6,2,17,11,41,5,39,2,1045,3,1045.3003,206,63,E,,09/21/17 00:00:00,
1306,L5621,4,0,128,11,0,10128000011,12800011,601, , ,OLIVE,ST, ,P,FEBCO 825Y RP,1.25,BOILER ROOM BASEMENT,MACY'S,,601,OLIVE ST,63101,06/05/11 00:00:00,128,7,4,3,7,10,35,9,1,4,1256,3,1256.1048,261,4,O,,09/21/17 00:00:00,
1307,627932,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,0.75,ROB 4TH FLOOR MECHANICAL AREA,WASHINGTON U. MED. SCHOOL,BRYAN FROST,660,S EUCLID,63110,01/08/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1308,186135,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 009,0.75,GMB 1ST FLOOR IN BOILER ROOM,WASHINGTON UNIV. (EIR),,660,S. EUCLID,63110,01/23/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1309,060002,1,0,895,8024,0,10895008024,89500024,2000, , ,PINE,ST, ,P,WINKINS ZURN,1.5,BASEMENT BOILER ROOM STA. PLAZA,R & P REALTY,TIM,2000,PINE,63103,08/10/11 00:00:00,905,6,5,3,6,10,36,9,1,4,1275,2,1214.1052,257,192,E,,09/21/17 00:00:00,
1310,209248,0,0,900,60,0,10900000060,90000060,1915, , ,OLIVE,ST, ,P,WATTS RPZ,1.5,E.WALL OF PUMP ROOM @1915 OLIVE,BOARD OF POLICE COMM/PAUL,,1200,CLARK ST,63103,04/17/13 00:00:00,900,19,6,3,6,10,36,9,1,4,1275,2,1214.1047,257,4,O,,09/21/17 00:00:00,
1311,2LJ0694,2,0,4781.05,245,0,14781050245,478105245,4539, , ,PARKVIEW,PL, ,S,AMES D.C.,4,2ND FL. MECH.RM. EAST SIDE,ST.L.COLLEGE OF PHARMACY,,4539,PARKVIEW PL.,63110,01/07/14 00:00:00,3890,17,4,2,17,10,38,11,23,5,1191.01,2,1191.3003,224,684,O,,09/21/17 00:00:00,
1312,268268,0,0,209,25,0,10209000025,20900025,1401, , ,CLARK,AV, ,P,WATTS 909,1.5,15TH STREET LOADING DOCK,SCOTTRADE CENTER,,1401,CLARK,63103,09/23/13 00:00:00,209,7,4,3,7,8,36,9,1,4,1255,2,1255.2011,262,124,O,,09/21/17 00:00:00,
1313,0814C5,0,0,830,25,0,10830000025,83000025,1706, , ,WASHINGTON,AV, ,S,AMES,6,BASEMENT FRONT WALL,CPI CORP.,GARY,1706,WASHINGTON,63103,01/07/13 00:00:00,830,19,6,3,6,10,36,9,1,4,1255,1,1255.1024,262,3,E,,09/21/17 00:00:00,
1314,1119C3,0,0,830,25,0,10830000025,83000025,1706, , ,WASHINGTON,AV, ,S,AMES,6,BASEMENT BACK WALL,CPI CORP.,GARY,1706,WASHINGTON,63103,01/23/13 00:00:00,830,19,6,3,6,10,36,9,1,4,1255,1,1255.1024,262,3,E,,09/21/17 00:00:00,
1315,66595,0,0,2656,5,0,12656000005,265600005,4333, , ,NEBRASKA,AV, ,S,CLA VAL,6,PUMP ROOM BUILDING E120 s CETRL,MARYVILLE GARDENS,,4333,NEBRASKA,63111,02/18/13 00:00:00,2656,9,2,1,9,12,17,1,47,1,1156,5,1156.5002,101,178,O,,09/21/17 00:00:00,
1316,HI-1370,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,AMES 200,4,GENOME DATA CENTER 1ST FLOOR,WASHINGTON U. MED. SCHOOL,BRYAN FROST,660,S EUCLID,63110,01/08/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1317,619059,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 909,1,ECB ROOM 6214 MECHANICAL AREA,WASHINGTON UNIV.  (ECB),BRYAN FROST,660,S EUCLID,63110,01/08/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1318,A89165,0,0,520.03,120,0,10520030120,52003120,1315, , ,WASHINGTON,AV, ,P,WATTS 009,0.5,NEXT TO ICE MACHINE,THE SIDE BAR,,1315,WASHINGTON,63103,10/09/09 00:00:00,520.03,5,7,3,6,10,36,9,1,4,1255,3,1255.1016,262,3,O,,09/21/17 00:00:00,
1319,14766,0,0,4002,60,0,14002000060,400200060,1111, , ,MACKLIND,AV, ,P,WATTS 009,0.75,IN MECH ROOM-1002 S.VANDEVENTER,WHITE CASTLE SYSTEMS INC.,,1111,MACKLIND AVE.,63110,06/02/11 00:00:00,4002.0089,17,6,2,17,11,41,5,39,2,1045,3,1045.3002,206,318,O,,09/21/17 00:00:00,
1320,B1274,0,0,4002,60,0,14002000060,400200060,1111, , ,MACKLIND,AV, ,S,FEBCO DOUBLE CHECK,2.5,IN BASEMENT AT 2009 HEBERT,WHITE CASTLE SYSTEMS INC,,1111,MACKLIND,63110,09/06/12 00:00:00,4002.0089,17,6,2,17,11,41,5,39,2,1045,3,1045.3002,206,318,O,,09/21/17 00:00:00,
1321,9908121,0,0,6454,200,0,16454000200,645400200,4928, , ,CHRISTY,BLVD, ,S,FEBCO 850 DC,8,S.E. CORNER OF STORE,BURLINGTON STORE #325,,4928,CHRISTY,63116,07/26/12 00:00:00,6454,14,3,1,14,8,5,2,55,1,1151,5,1151.5001,137,800,E,,09/21/17 00:00:00,
1322,88554,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909 RP,2,1ST FL. RN  J211 UTILITY,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1323,388046,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 900,1,LL TOWER SW MECH. ROOM,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQUARE,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1324,87999,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,2,1ST FL. RN REGG. MECH ROOM,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1325,V06828,9,0,9999.799999999999,0,0,19999800000,999980000,6504, , ,DELMAR,BLVD, ,S,WILKINS MODEL 350A,4,FRONT CLOSET WEST OF FRONT DOOR,HAMSTERLAND LLC,,6504,DELMAR,63130,12/10/11 00:00:00,9999.1,98,98,98,98,98,98,98,98,0,9999.1,0,9999.1,499,1,E,,09/21/17 00:00:00,
1326,408071,0,0,3176,105,0,13176000105,317600105,8201, , ,IDAHO,AV, ,P,WATTS 909,1.5,FRONT LAWN IRRIGATION,ICL PERFORMANCE,,8201,IDAHO,63111,09/20/13 00:00:00,3176.0089,11,1,2,11,1,1,1,48,1,1015,2,1015.5018,108,444,O,,09/21/17 00:00:00,
1327,194052,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,2,TOWER LOADING DOCK PUMP ROOM,NESTLE  PURINA,,1,CHECKERBOARD SQUARE,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1328,437191,0,0,4644,60,0,14644000060,464400060,2185, , ,HAMPTON,AV, ,P,WATTS 909Y,1.5,PORTABLE UNIT,S.M. WILSON,,2185,HAMPTON,63139,07/27/06 00:00:00,4644,24,4,1,24,7,11,4,60,2,1036,1,1036.1013,212,43,O,,09/21/17 00:00:00,
1329,374713,87,0,1720,65,1,11720000065,172000065,2800, , ,MARKET,ST, ,P,WATTS 909,2,F BUILDING PUMP ROOM,WELLS FARGO,,2800,MARKET,63103,10/05/13 00:00:00,1720,6,5,3,6,10,37,10,3,4,1184,1,1184.1,254,66,E,,09/21/17 00:00:00,
1330,03969,0,0,3752,595,0,13752000595,375200595,3969, , ,WASHINGTON,AV, ,S,AMES 2000,6,N.W. CORNER/MECHANICAL ROOM,GREATER BETHLEHEM APTS.,,3969,WASHINGTON,63108,08/01/13 00:00:00,3752.0087,18,2,2,18,4,38,13,25,5,1193,1,1193.1005,230,3,O,,09/21/17 00:00:00,
1331,A76313,0,0,4782,215,0,14782000215,478200215,660, ,S,EUCLID,AV, ,P,WATTS 009,0.75,6TH FL. MECHANICAL AREA #6015,WASHINGTON UNIVERSITY,,660,S. EUCLID,63110,01/13/13 00:00:00,4782,17,4,2,17,10,38,11,23,5,1186,1,1186.102,224,563,E,,09/21/17 00:00:00,
1332,433934,0,0,1859,205,0,11859000205,185900205,1400, ,N,GRAND,BLVD, ,P,WATTS 909,1.5,REAR OF STORE AT FIRE SUPPRESSN,WALGREENS,,1400,N. GRAND,63113,05/07/10 00:00:00,1859,19,9,1,19,12,59,14,8,4,1212,2,1212.4003,256,24,E,,09/21/17 00:00:00,
1333,164770,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,2,1ST FLOOR E BUILDING MECH ROOM,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1334,16423/1,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,KENNEDY DOUBLE CHECK,6,EBC 1ST SERVICE ENG.,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQUARE,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1335,172076,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,1,EBC SUB BASEMENT,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1336,394444,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,1,"1045 CHOUTEAU,PURINA CREDIT U.",NESTLE  PURINA,MIKE ABLAN,1,CHECKER BOARD SQ.,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1337,329017,92,0,9999.9,0,0,19999900000,999990000,1, , , , , ,P,WATTS 009,2,MECH ROOM FOR PAINTED DOG,ST. LOUIS ZOO,,1,GOVERNMENT DR,63110,10/21/13 00:00:00,9999.9,99,99,99,99,99,99,99,99,0,9999.9,0,9999.9,499,0,O,,09/21/17 00:00:00,
1338,373932,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,1.5,RN 4TH FL. PTI 1420 PROCESS,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1339,A016448,1,0,6486,30,0,16486000030,648600030,1920, , ,CASS,AV, ,P,FEBCO 825,1.5,CORNER OF 19TH & CASS/MONUMENT,MURPHY PARK,,1920,CASS,63106,09/06/13 00:00:00,6486.0088,5,3,2,5,5,61,14,5,4,1275,1,1213.1001,258,10,E,,09/21/17 00:00:00,
1340,108967,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,2,L.L. SUB BASEMENT CHILLER ROOM,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1341,108747,1,0,430,30,0,10430000030,43000030,1, , ,CHECKERBOARD SQUARE, , ,P,WATTS 909,2.5,c. bldg. main water serv.,NESTLE  PURINA,MIKE ABLAN,1,CHECKERBOARD SQ,63102,09/30/13 00:00:00,430,7,5,3,7,7,35,9,2,4,1274,1,1222.2008,265,1266,O,,09/21/17 00:00:00,
1342,370579,92,0,9999.9,0,0,19999900000,999990000,1, , , , , ,P,WATTS 009  QT,0.5,KITCHEN NEXT TO WATER HEATER,LINCOLN INDUSTRIES,,1,LINCOLN WAY,63120,08/14/13 00:00:00,9999.9,99,99,99,99,99,99,99,99,0,9999.9,0,9999.9,499,0,O,,09/21/17 00:00:00,
